Concept,ImageNet IDs,ImageNet classes,Features
banana,954,banana,"a_fruit, eaten_by_monkeys, eaten_by_peeling, grows_in_tropical_climates, grows_on_trees, has_a_skin, has_peel, is_edible, is_green, is_healthy, is_long, is_round, is_soft, is_yellow, tastes_good"
banjo,420,banjo,"a_musical_instrument, has_a_neck, has_strings, inbeh_-_produces_music, inbeh_-_produces_sound, is_round, like_a_guitar, made_of_wood, used_by_musicians, used_by_playing, used_for_music, used_in_bands"
banner,,,"a_sign, has_a_message, has_words_on_it, is_colourful, is_large, is_long, is_rectangular, made_of_paper, made_of_plastic, used_by_hanging, used_for_advertising, used_for_celebrating, used_for_events"
barn,425,barn,"a_building, found_in_the_country, found_on_farms, has_a_hay_loft, has_doors, has_stalls, is_dirty, is_large, is_red, is_smelly, made_of_wood, used_for_animals, used_for_cows, used_for_storage, used_for_storing_farm_equipment, used_for_storing_hay, used_for_storing_tractors"
barrel,"427, 756","barrel cask, rain barrel","a_container, has_a_lid, has_metal_bands, is_brown, is_large, is_round, made_of_wood, used_for_storage, used_for_storing_beer, used_for_storing_water, used_for_storing_wine"
basement,,,"found_below_ground, found_on_the_bottom_floor, has_a_foundation, has_a_furnace, has_stairways, has_walls, has_windows, is_cold, is_damp, is_dark, is_musty, is_scary, is_the_lowest_floor, made_of_cement, part_of_a_house, used_for_storage"
basket,790,shopping basket,"has_a_handle, is_weaved, made_of_wicker, made_of_wood, used_at_Easter, used_by_carrying, used_for_fruit, used_for_holding_things, used_for_picnics"
bat_(animal),,,"a_mammal, an_animal, associated_with_vampires, beh_-_flies, beh_-_is_nocturnal, beh_-_screeches, beh_-_sleeps_upside_down, beh_-_uses_radar_to_navigate, has_fangs, has_fur, has_wings, is_black, is_blind, is_scary, is_small, lives_in_caves"
bat_(baseball),,,"is_heavy, is_long, made_of_metal, made_of_wood, used_by_swinging, used_for_hitting, used_for_hitting_balls, used_for_sports"
bathtub,435,bathtub bathing tub bath tub,"found_in_bathrooms, has_a_drain, has_a_drain_plug, has_taps, is_hard, is_large, is_white, made_of_ceramic, requires_water, used_by_filling, used_by_people, used_for_bathing, used_for_bubble_baths, used_for_holding_water, used_for_showers, used_for_washing"
baton,,,"is_long, is_round, like_a_stick, made_of_metal, made_of_wood, used_by_cheerleaders, used_by_throwing_in_air, used_by_twirling, used_in_marching_bands, used_in_relay_races"
bayonet,,,"a_long_knife, found_at_the_end_of_a_gun, is_dangerous, is_long, is_sharp, used_for_killing, used_in_wars"
bazooka,,,"a_gun, a_weapon, inbeh_-_fires, is_dangerous, is_destructive, is_large, is_loud, made_of_metal, used_by_the_army, used_for_killing, used_for_war"
beans,,,"a_vegetable, causes_gas, eaten_by_baking, eaten_by_cooking, eg_-_kidney, eg_-_lima, grows_in_gardens, has_pods, has_protein, is_brown, is_edible, is_green, is_nutritious, is_small, is_yellow"
bear,"294, 295, 296, 297, 387, 388","brown bear bruin Ursus arctos, American black bear black bear Ursus americanus Euarctos americanus, ice bear polar bear Ursus Maritimus Thalarctos maritimus, sloth bear Melursus ursinus Ursus ursinus, lesser panda red panda panda bear cat cat bear Ailurus fulgens, giant panda panda panda bear coon bear Ailuropoda melanoleuca","a_mammal, an_animal, beh_-_eats_fish, beh_-_hibernates, beh_-_produces_offspring, has_4_legs, has_claws, has_feet, has_fur, has_paws, has_teeth, hunted_by_people, is_black, is_brown, is_dangerous, is_large, is_white, lives_in_forests, lives_in_wilderness"
beaver,337,beaver,"a_mammal, an_animal, beh_-_builds_dams, beh_-_chews_on_wood, beh_-_cuts_down_trees, beh_-_swims, found_on_the_nickel, has_a_tail, has_sharp_teeth, hunted_by_people, is_brown, is_furry, lives_in_dams, lives_in_water, symbol_of_Canada"
bed,,,"different_sizes, found_in_bedrooms, furniture, has_a_box_spring, has_a_comforter, has_a_headboard, has_a_mattress, has_blankets, has_pillows, has_sheets, has_springs, is_comfortable, is_soft, is_warm, used_at_night, used_for_sex, used_for_sleeping"
bedroom,,,"a_room, found_in_houses, has_a_bed, has_a_closet, has_a_dresser, has_a_window, has_walls, is_small, used_for_personal_space, used_for_sleeping_in"
beehive,,,"found_in_trees, has_honey, inbeh_-_produces_honey, is_dangerous, is_yellow, made_by_bees, used_as_a_home_by_bees, used_as_a_home_by_queen_bees"
beetle,"300, 301, 302, 303, 304, 305, 306","tiger beetle, ladybug ladybeetle lady beetle ladybird ladybird beetle, ground beetle carabid beetle, long-horned beetle longicorn longicorn beetle, leaf beetle chrysomelid, dung beetle, rhinoceros beetle","a_bug, an_insect, beh_-_crawls, beh_-_flies, has_a_shell, has_eyes, has_legs, has_wings, is_black, is_hard, is_large, is_small, is_ugly"
beets,,,"a_root, a_vegetable, beh_-_stains, eaten_as_pickles, eaten_in_borscht, eaten_in_salads, grows_in_gardens, grows_in_the_ground, grows_underground, has_leaves, is_edible, is_juicy, is_purple, is_red, is_round"
belt,,,"a_fashion_accessory, clothing, has_buckles, has_holes, is_decorative, is_long, is_thin, made_of_leather, made_of_material, used_for_punishment, worn_around_waist, worn_for_holding_up_pants, worn_through_pant_loops"
bench,703,park bench,"different_colours, found_at_bus_stops, found_in_parks, has_4_legs, has_a_back, is_hard, is_long, made_of_metal, made_of_wood, used_by_sitting_on, used_for_resting"
bike,671,mountain bike all-terrain bike off-roader,"different_speeds, eg_-_mountain, eg_-_ten_speed, has_2_wheels, has_a_bell, has_a_chain, has_a_frame, has_a_seat, has_brakes, has_gears, has_handle_bars, has_pedals, has_training_wheels, has_wheels, is_fast, made_of_metal, used_by_riding, used_for_exercising, used_for_racing, used_for_transportation"
bin_(waste),,,"is_emptied, is_hollow, is_large, is_round, is_small, is_smelly, made_of_metal, made_of_plastic, used_for_holding_garbage"
birch,,,"a_tree, beh_-_bark_peals_off, beh_-_loses_leaves_in_the_fall, grows_in_forests, has_bark, has_branches, has_leaves, is_tall, is_white, used_for_making_paper"
biscuit,,,"a_food, a_treat, eaten_by_baking, eaten_with_tea, is_crunchy, is_edible, is_round, is_small, like_a_cookie, made_with_flour, tastes_good"
bison,347,bison,"a_mammal, an_animal, beh_-_travels_in_herds, eaten_by_natives, hunted_by_people, is_brown, is_endangered, is_furry, is_large, like_a_buffalo"
blackbird,,,"a_bird, an_animal, beh_-_builds_nests, beh_-_chirps, beh_-_eats_worms, beh_-_flies, beh_-_lays_eggs, beh_-_sings, has_a_beak, has_feathers, has_wings, is_black"
blender,,,"an_appliance, found_in_kitchens, has_a_container, has_blades, has_cutting_blades, is_electrical, is_electronic, is_loud, made_of_glass, made_of_plastic, used_for_chopping_food, used_for_making_drinks, used_for_making_milkshakes, used_for_mixing, used_for_mixing_liquids"
blouse,,,"a_shirt, clothing, different_colours, has_a_collar, has_buttons, has_sleeves, is_feminine, is_pretty, is_soft, made_of_cotton, made_of_material, made_of_silk, worn_by_women, worn_on_torso, worn_with_skirts"
blueberry,,,"a_berry, a_fruit, beh_-_stains, eaten_in_jams, eaten_in_pies, eaten_raw, grows_on_bushes, is_blue, is_edible, is_juicy, is_round, is_small, tastes_good, tastes_sweet"
bluejay,,,"a_bird, an_animal, beh_-_builds_nests, beh_-_flies, beh_-_lays_eggs, beh_-_sings, has_a_beak, has_feathers, has_wings, is_blue, is_pretty, is_small"
board_(black),,,"found_in_classrooms, found_in_schools, is_black, is_dusty, is_green, is_large, requires_cleaning, used_by_teachers, used_for_learning, used_for_writing_on, used_with_chalk"
board_(wood),,,"comes_from_trees, is_brown, is_flat, is_hard, is_long, made_from_wood, made_of_wood, used_by_pirates, used_for_building_houses, used_for_building_things, used_for_construction, used_for_diving_boards, used_on_ships"
boat,"554, 625, 814","fireboat, lifeboat, speedboat","found_on_water, has_a_motor, has_sails, inbeh_-_floats, is_small, made_of_wood, used_by_people, used_for_fishing, used_for_transportation, used_on_oceans"
bolts,,,"a_hardware, different_sizes, has_threads, is_small, made_of_metal, made_of_steel, used_for_construction, used_for_holding, used_for_holding_things_together, used_for_locking/unlocking_doors, used_for_securing, used_with_nuts, used_with_screws"
bomb,,,"a_weapon, dropped_from_airplanes, has_a_timer, inbeh_-_explodes, is_dangerous, is_destructive, is_frightening, is_lethal, is_loud, is_nuclear, used_at_Hiroshima, used_by_dropping, used_for_killing, used_for_terrorism, used_for_war"
book,,,"found_in_libraries, found_in_schools, found_on_shelves, has_a_hard_cover, has_a_soft_cover, has_authors, has_information, has_page_numbers, has_pages, has_pictures, has_words_in_it, inbeh_-_tells_stories, made_of_paper, used_by_reading, used_for_acquiring/storing_knowledge, used_for_learning"
bookcase,453,bookcase,"found_in_houses, found_in_libraries, found_on_walls, furniture, has_shelves, is_large, is_tall, made_of_metal, made_of_wood, used_for_holding_books, used_for_organizing, used_for_storage"
boots,514,cowboy boot,"clothing, comes_in_pairs, eg_-_cowboy, has_heels, has_laces, has_soles, is_black, is_brown, is_long, is_short, made_of_leather, made_of_rubber, worn_for_covering, worn_for_keeping_feet_dry, worn_for_keeping_feet_warm, worn_for_protecting_feet, worn_for_protection, worn_for_the_rain, worn_for_warmth, worn_in_winter, worn_on_feet"
bottle,"440, 737, 898, 907","beer bottle, pop bottle soda bottle, water bottle, wine bottle","a_container, has_a_cork, has_a_lid, has_a_neck, is_breakable, is_green, is_recyclable, is_transparent, made_of_glass, made_of_plastic, used_for_drinking, used_for_holding_beer, used_for_holding_liquids, used_for_holding_things, used_for_holding_wine"
bouquet,,,"comes_in_arrangements, found_in_vases, is_colourful, is_pretty, made_of_flowers, smells_nice, used_as_a_gift, used_at_weddings"
bow_(ribbon),,,"different_colours, different_sizes, found_on_gifts, is_long, is_red, used_for_decoration, used_for_tying, worn_in_hair"
bow_(weapon),456,bow,"a_weapon, has_a_string, is_curved, is_dangerous, is_long, made_of_plastic, made_of_wood, requires_arrows, used_for_archery, used_for_hunting, used_for_killing, used_for_sports, used_long_ago"
bowl,"659, 809","mixing bowl, soup bowl","different_colours, found_in_kitchens, is_curved, is_round, made_of_ceramic, made_of_plastic, requires_a_spoon, used_for_eating, used_for_eating_cereal, used_for_food, used_for_holding_things, used_for_liquids, used_for_mixing, used_for_soup"
box,,,"a_container, has_4_sides, has_6_sides, has_a_lid, has_sides, is_brown, is_large, is_rectangular, is_small, is_square, made_of_cardboard, made_of_wood, used_for_moving_things, used_for_storage"
bra,459,brassiere bra bandeau,"an_undergarment, clothing, different_colours, different_sizes, has_clasps, has_cups, has_hooks, has_no_straps, has_straps, has_wires, is_black, is_lacy, is_sexy, is_uncomfortable, is_white, made_of_cotton, made_of_material, worn_by_women, worn_for_support, worn_for_supporting_breasts"
bracelet,,,"a_fashion_accessory, a_jewelry, bought/sold_in_stores, has_a_clasp, is_expensive, is_not_expensive, is_round, is_thin, made_of_gold, made_of_metal, made_of_silver, used_for_gifts, worn_on_ankles, worn_on_wrists"
bread,,,"a_food, a_loaf, eaten_as_toast, eaten_with_butter, has_a_crust, is_brown, is_edible, is_nutritious, is_soft, is_white, made_of_flour, made_of_wheat, made_with_yeast, requires_baking, requires_slicing, used_in_sandwiches"
brick,,,"different_colours, is_hard, is_heavy, is_rectangular, is_red, is_rough, made_of_cement, used_for_building_buildings, used_for_building_houses"
bridge,"821, 839","steel arch bridge, suspension bridge","eg_-_a_drawbridge, found_over_water, is_large, is_long, is_small, made_by_humans, made_of_concrete, made_of_metal, made_of_wood, used_by_cars, used_by_people, used_by_trains, used_for_connecting_land, used_for_crossing"
broccoli,937,broccoli,"a_vegetable, eaten_by_cooking, eaten_raw, eaten_with_cheese_sauce, grows_in_gardens, has_flowers, has_leaves, has_stalks, is_edible, is_green, is_nutritious, tastes_good"
broom,462,broom,"associated_with_witches, found_in_closets, has_a_handle, has_bristles, is_long, made_of_plastic, made_of_straw, made_of_wood, used_for_cleaning, used_for_removing_dirt, used_for_removing_dust, used_for_sweeping, used_on_floors"
brush,,,"has_a_handle, has_bristles, is_hand_held, made_of_metal, made_of_plastic, used_by_people, used_for_cleaning, used_for_combing, used_for_painting, used_for_untangling, used_on_hair, used_on_teeth"
bucket,463,bucket pail,"has_a_handle, is_round, made_of_metal, made_of_plastic, used_for_carrying_things, used_for_holding_things, used_for_water"
buckle,464,buckle,"found_on_belts, found_on_shoes, is_shiny, is_small, made_of_metal, made_of_plastic, used_for_fastening, used_for_holding"
budgie,,,"a_bird, a_pet, beh_-_chirps, beh_-_eats, beh_-_eats_seeds, beh_-_flies, beh_-_sings, beh_-_talks, different_colours, has_a_beak, has_feathers, is_blue, is_colourful, is_green, is_loud, is_small, lives_in_cages"
buffalo,346,water buffalo water ox Asiatic buffalo Bubalus bubalis,"a_mammal, an_animal, beh_-_runs, beh_-_travels_in_herds, has_4_legs, has_hair, has_horns, hunted_by_people, is_brown, is_edible, is_endangered, is_furry, is_large, like_a_cow, lives_in_Prairies"
buggy,,,"has_4_wheels, has_a_handle, has_seats, has_wheels, is_old-fashioned, made_of_metal, used_by_people, used_by_pulling_by_horses, used_by_pushing, used_for_babies, used_for_carrying_things, used_for_transportation"
building,497,church church building,"found_in_cities, has_a_roof, has_doors, has_rooms, has_walls, has_windows, is_large, is_tall, made_of_brick, made_of_cement, made_of_metal, made_of_wood, used_by_people, used_for_residences, used_for_work"
bull,,,"a_cow, a_mammal, an_animal, beh_-_hates_red, beh_-_kills_people, has_a_ring_in_its_nose, has_horns, is_dangerous, is_large, is_male, lives_in_Spain, used_for_bullfighting"
bullet,,,"a_gun, has_a_pointed_end, is_fast, is_small, made_of_lead, made_of_metal, requires_gunpowder, used_as_a_projectile, used_by_firing_from_gun, used_by_hunters, used_by_the_police, used_for_injuring, used_for_killing, used_in_guns"
bungalow,,,"a_house, has_1_level, has_a_basement, has_a_roof, has_levels, is_small, made_of_brick, used_for_living_in, used_for_shelter"
bureau,,,"a_desk, a_dresser, found_in_bedrooms, furniture, has_a_mirror_on_top, has_drawers, is_heavy, is_large, made_of_wood, used_for_storage, used_for_storing_clothing, used_for_writing_on"
bus,779,school bus,"a_vehicle, has_an_engine, has_doors, has_many_seats, has_seats, has_wheels, has_windows, is_crowded, is_large, is_loud, is_yellow, requires_a_fare, requires_drivers, used_by_schools, used_for_passengers, used_for_public_transportation, used_for_transportation"
butterfly,"322, 323, 324, 325, 326","ringlet ringlet butterfly, monarch monarch butterfly milkweed butterfly Danaus plexippus, cabbage butterfly, sulphur butterfly sulfur butterfly, lycaenid lycaenid butterfly","an_insect, beh_-_flies, beh_-_pollinates_flowers, comes_from_a_caterpillar, comes_from_a_cocoon, different_colours, different_types, eg_-_monarch, has_antennae, has_wings, is_beautiful, is_colourful, is_delicate, is_pretty, is_small"
buzzard,,,"a_bird, a_carnivore, a_scavenger, beh_-_eats, beh_-_eats_dead_flesh, beh_-_flies, has_a_beak, has_a_neck, has_feathers, has_wings, is_black, is_large, is_ugly, lives_in_deserts"
cabbage,936,head cabbage,"a_vegetable, eaten_as_coleslaw, eaten_by_cooking, eaten_in_cabbage_rolls, eaten_in_salads, eaten_in_soups, grows_in_gardens, grows_in_patches, grows_on_the_ground, has_leaves, is_edible, is_green, is_nutritious, is_round, is_smelly, is_white"
cabin,,,"found_in_forests, has_fireplaces, is_cozy, is_small, like_a_house, made_of_logs, made_of_wood, used_for_relaxing, used_for_shelter, used_for_vacations"
cabinet,"495, 553, 648","china cabinet china closet, file file cabinet filing cabinet, medicine chest medicine cabinet","found_in_houses, found_in_kitchens, furniture, has_doors, has_drawers, has_handles, has_shelves, made_of_wood, used_for_storage, used_for_storing_dishes"
cage,,,"has_a_door, has_a_lock, has_bars, is_restricting, is_small, made_of_metal, made_of_wire, used_by_zoos, used_for_birds, used_for_criminals, used_for_holding_animals, used_for_holding_things, used_for_trapping"
cake,,,"a_dessert, eaten_at_birthdays, eaten_at_special_occasions, eaten_at_weddings, eaten_by_baking, eaten_with_ice_cream, eg_-_chocolate_cake, eg_-_vanilla_cake, is_edible, made_in_ovens, made_with_flour, made_with_sugar, requires_candles, requires_icing, tastes_different_flavours, tastes_good, tastes_sweet"
calf,,,"a_baby_cow, an_animal, beh_-_eats_grass, beh_-_moos, beh_-_suckles_milk, eaten_as_food, eaten_as_veal, has_4_hoofs, has_4_legs, has_a_tail, has_hooves, is_edible, is_small, lives_on_farms"
camel,354,Arabian camel dromedary Camelus dromedarius,"a_mammal, an_animal, associated_with_cigarettes, beh_-_drinks_water, beh_-_spits, beh_-_stores_water, has_2_humps, has_a_hump, has_legs, is_beige, is_brown, is_large, lives_in_deserts, used_by_riding, used_for_transportation"
camisole,,,"a_lingerie, an_undergarment, clothing, has_lace, has_no_sleeves, has_straps, has_thin/spaghetti_straps, is_comfortable, is_lacy, is_sexy, is_soft, is_white, made_of_cotton, made_of_material, made_of_silk, worn_by_women, worn_on_torso, worn_under_shirts"
canary,,,"a_bird, a_pet, beh_-_chirps, beh_-_eats, beh_-_eats_seeds, beh_-_flies, beh_-_sings, has_2_legs, has_a_beak, has_feathers, has_legs, has_wings, is_small, is_yellow, lives_in_cages"
candle,470,candle taper wax light,"different_colours, different_shapes, different_sizes, has_a_wick, inbeh_-_burns, inbeh_-_melts, inbeh_-_produces_heat, inbeh_-_produces_light, is_decorative, is_scented, made_of_wax, requires_a_lighting_source, used_for_romancing, used_for_starting_fires"
cannon,471,cannon,"a_weapon, has_a_barrel, has_wheels, inbeh_-_fires, inbeh_-_fires_cannon_balls, is_black, is_heavy, is_large, is_loud, is_powerful, made_of_iron, made_of_metal, requires_gunpowder, used_a_while_ago, used_for_war, used_in_circuses, used_on_ships"
canoe,472,canoe,"a_boat, has_paddles/is_paddled, inbeh_-_floats, inbeh_-_tips, is_long, is_thin, made_of_birch_bark, made_of_fibreglass, made_of_wood, used_by_1_2_or_3_people, used_by_2_people, used_by_Indians, used_by_portaging, used_for_camping, used_for_transportation, used_on_lakes, used_on_rivers, used_on_water"
cantaloupe,,,"a_fruit, a_melon, eaten_in_summer, grows_in_warm_climates, grows_on_trees, has_rough_skin, has_seeds, has_skin, is_juicy, is_orange, is_orange_inside, is_round, tastes_good, tastes_sweet"
cap_(bottle),,,"is_closed_by_twisting, is_opened_by_twisting, is_round, is_small, made_of_metal, made_of_plastic, used_for_ensuring_freshness, used_for_sealing, used_on_bottles"
cap_(hat),,,"associated_with_bad_hair_days, clothing, different_colours, eg_-_baseball, has_a_visor, has_logos, is_adjustable, is_warm, worn_by_men, worn_by_sports_teams, worn_for_blocking_the_sun, worn_on_heads"
cape,,,"associated_with_Batman, associated_with_Dracula, associated_with_Superman, clothing, inbeh_-_flows_in_the_wind, is_black, is_long, made_of_cloth, worn_by_super_heroes, worn_for_warmth, worn_on_back, worn_on_shoulders"
car,"436, 751, 817","beach wagon station wagon wagon estate car beach waggon station waggon waggon, racer race car racing car, sports car sport car","a_vehicle, causes_pollution, different_colours, has_4_doors, has_4_wheels, has_a_steering_wheel, has_an_engine, has_doors, has_wheels, has_windows, is_expensive, is_fast, requires_drivers, requires_gasoline, used_for_passengers, used_for_transportation"
card_(greeting),,,"associated_with_envelopes, bought/sold_in_stores, has_a_message, has_pictures, is_colourful, is_humorous, made_by_Hallmark, made_of_paper, used_by_mailing, used_by_thoughtful_people, used_for_birthdays, used_for_special_occasions, used_for_sympathy"
caribou,,,"a_herbivore, a_mammal, an_animal, beh_-_migrates, beh_-_travels_in_herds, has_4_legs, has_antlers, has_fur, has_horns, has_legs, hunted_by_Eskimos, hunted_by_people, is_brown, is_fast, is_large, lives_in_north, lives_in_wilderness, lives_in_woods"
carpet,,,"different_colours, found_in_houses, found_on_floors, is_colourful, is_cozy, is_decorative, is_dirty, is_plush, is_shag, is_soft, is_thick, is_wall_to_wall, made_of_wool, requires_vacuuming, used_for_covering_floors, used_for_walking_on, used_for_warmth"
carrot,,,"a_root, a_vegetable, eaten_by_cooking, eaten_by_rabbits, eaten_in_salads, grows_in_gardens, grows_in_the_ground, grows_underground, has_a_green_top, has_a_leafy_top, has_a_pointed_end, has_a_top, has_vitamin_A, is_crunchy, is_long, is_nutritious, is_orange, used_for_good_eyesight"
cart,"428, 603, 791","barrow garden cart lawn cart wheelbarrow, horse cart horse-cart, shopping cart","has_2_wheels, has_4_wheels, has_wheels, is_large, made_of_metal, made_of_wood, used_by_pulling, used_by_pulling_by_horses, used_by_pushing, used_for_cargo, used_for_shopping"
cat,"281, 283, 284, 285","tabby tabby cat, Persian cat, Siamese cat Siamese, Egyptian cat","a_baby_is_a_kitten, a_feline, a_mammal, a_pet, an_animal, beh_-_eats, beh_-_eats_mice, beh_-_kills, beh_-_meows, beh_-_purrs, has_4_legs, has_a_tail, has_claws, has_eyes, has_fur, has_legs, has_paws, has_whiskers, is_domestic, is_independent"
catapult,,,"a_weapon, has_wheels, is_large, is_medieval, made_of_wood, used_for_launching_objects, used_for_throwing, used_for_throwing_stones, used_for_war"
caterpillar,,,"an_insect, becomes_a_butterfly, beh_-_cocoons, beh_-_crawls, beh_-_eats_leaves, different_colours, eaten_by_birds, has_many_legs, is_colourful, is_furry, is_green, is_long, is_small, lives_in_trees"
catfish,,,"a_fish, beh_-_eats_garbage, beh_-_swims, has_fins, has_gills, has_scales, has_whiskers, is_edible, lives_in_lakes, lives_in_water"
cathedral,,,"a_building, a_church, associated_with_religion, has_benches, has_candles, has_stained_glass_windows, has_windows, is_large, used_by_Catholics, used_by_people, used_for_praying, used_for_weddings, used_for_worshipping"
cauliflower,938,cauliflower,"a_vegetable, eaten_by_cooking, eaten_by_steaming, eaten_in_salads, eaten_raw, grows_in_gardens, grows_in_the_ground, has_flowers, has_green_leaves, has_leaves, is_edible, is_nutritious, is_white, tastes_good"
cedar,,,"a_coniferous, a_tree, a_type_of_wood, an_evergreen, grows_in_forests, has_bark, has_branches, has_leaves, has_needles, is_green, is_smelly, is_tall, used_for_building_things, used_for_making_furniture, used_for_starting_fires"
celery,,,"a_vegetable, eaten_in_salads, eaten_with_dips, grows_in_gardens, has_fibre, has_leaves, has_stalks, is_crunchy, is_edible, is_green, is_long, is_nutritious, is_stringy, tastes_bland, tastes_good"
cellar,,,"a_room, found_in_basements, found_in_houses, has_shelves, is_cold, is_damp, is_dark, used_for_storage, used_for_storing_food, used_for_storing_wine"
cello,486,cello violoncello,"a_musical_instrument, found_in_orchestras, has_strings, inbeh_-_produces_deep_sounds, inbeh_-_produces_noise, is_large, made_of_wood, requires_a_bow, used_for_music"
certificate,,,"a_paper, an_award, found_on_walls, has_a_name_on_it, has_a_seal, has_a_signature, is_rectangular, requires_a_frame, used_for_accomplishments, used_for_achievements, used_for_certifying, used_for_recognition"
chain,"488, 490","chain, chain mail ring mail mail chain armor chain armour ring armor ring armour","a_jewelry, has_links, is_gold, is_long, is_shiny, is_silver, is_strong, made_of_metal, used_for_holding_things_together, used_on_bicycles, worn_around_neck"
chair,"423, 559, 765","barber chair, folding chair, rocking chair rocker","found_at_tables, furniture, has_4_legs, has_a_back, has_a_cushion, has_a_seat, has_armrests, has_legs, is_comfortable, is_uncomfortable, is_upholstered, made_of_wood, used_by_sitting_on, used_for_relaxing, used_for_rocking, used_with_tables"
chandelier,,,"a_light_fixture, found_in_ballrooms, found_in_dining_rooms, has_candles, has_lightbulbs, is_electrical, is_expensive, is_heavy, is_shiny, is_sparkly, made_of_crystal, made_of_glass, used_by_hanging, used_by_hanging_from_ceilings, used_for_making_light"
chapel,,,"associated_with_religion, associated_with_The_House_of_God, has_a_cross, has_candles, has_clergy, has_seats, is_quiet, like_a_church, used_for_praying, used_for_weddings, used_for_worshipping"
cheese,,,"a_dairy_product, a_food, eaten_by_mice, eaten_in_sandwiches, eaten_on_pizza, eg_-_cheddar, eg_-_Swiss, is_edible, is_hard, is_melted, is_orange, is_soft, is_white, is_yellow, made_from_milk, smells_distinct, tastes_different_flavours, tastes_good, used_with_food"
