norm,norm (language),num. concepts,concepts
beh_-_crawls,living being that crawls,5,"ant, beetle, caterpillar, spider, worm"
beh_-_eats,living being that eats,39,"budgie, buzzard, canary, cat, chicken, chimp, cougar, cow, crow, dolphin, duck, eagle, elephant, fawn, finch, frog, goat, grasshopper, hamster, horse, mouse, otter, parakeet, pig, pigeon, pony, rat, rattlesnake, robin, seagull, sheep, squirrel, starling, stork, toad, turkey, vulture, whale, woodpecker"
beh_-_eats_fish,living being that eats fish,7,"bear, dolphin, pelican, penguin, seagull, seal, stork"
beh_-_eats_garbage,living being that eats garbage,5,"catfish, housefly, raccoon, rat, seagull"
beh_-_eats_grass,living being that eats grass,7,"calf, cow, fawn, goat, lamb, ox, sheep"
beh_-_eats_insects,living being that eats insects,5,"frog, robin, spider, toad, woodpecker"
beh_-_flies,living being that flies,46,"airplane, bat_(animal), beetle, blackbird, bluejay, budgie, butterfly, buzzard, canary, chickadee, chicken, cockroach, crow, dove, duck, eagle, falcon, finch, flamingo, goose, grasshopper, hawk, hornet, housefly, jet, missile, moth, nightingale, oriole, owl, parakeet, partridge, peacock, pelican, pheasant, pigeon, raven, robin, seagull, sparrow, starling, stork, swan, vulture, wasp, woodpecker"
beh_-_hunts,living being that hunts,5,"cheetah, coyote, falcon, fox, panther"
beh_-_jumps,living being that jumps,5,"dolphin, flea, grasshopper, hare, toad"
beh_-_lays_eggs,living being that lays eggs,32,"blackbird, bluejay, chickadee, chicken, crocodile, dove, duck, eagle, falcon, flea, goose, mackerel, oriole, ostrich, partridge, peacock, penguin, perch, pheasant, raven, robin, salmon, seagull, sparrow, spider, starling, swan, tortoise, trout, turtle, vulture, woodpecker"
beh_-_migrates,living being that migrates,5,"caribou, duck, goose, robin, sparrow"
beh_-_runs,living being that runs,5,"buffalo, deer, hyena, ostrich, squirrel"
beh_-_sings,living being that sings,11,"blackbird, bluejay, budgie, canary, chickadee, finch, nightingale, parakeet, robin, sparrow, starling"
beh_-_swims,living being that swims,33,"alligator, beaver, catfish, cod, crocodile, dolphin, duck, eel, frog, goldfish, guppy, lobster, mackerel, minnow, octopus, otter, pelican, penguin, perch, platypus, salmon, sardine, seal, shrimp, squid, swan, toad, tortoise, trout, tuna, turtle, walrus, whale"
beh_-_travels_in_herds,living being that travels in herds,5,"bison, buffalo, caribou, elk, zebra"
bought/sold_in_stores,bought/sold in stores,5,"bracelet, card_(greeting), magazine, necklace, toy"
clothing,clothing,34,"belt, blouse, boots, bra, camisole, cap_(hat), cape, cloak, coat, dress, gloves, gown, hose_(leggings), jacket, jeans, leotards, mittens, nightgown, pajamas, pants, parka, robe, scarf, shawl, shirt, shoes, skirt, slippers, socks, sweater, swimsuit, tie, trousers, vest"
comes_in_pairs,comes in pairs,7,"boots, gloves, mittens, shoes, skis, slippers, socks"
different_colours,different colours,58,"bag, ball, balloon, bench, blouse, bow_(ribbon), bowl, bra, brick, budgie, butterfly, candle, cap_(hat), car, carpet, caterpillar, coat, comb, crayon, cup, curtains, cushion, dish, drapes, dress, earmuffs, envelope, gown, helmet, hose_(leggings), jacket, jeans, kite, leotards, marble, mink_(coat), napkin, nightgown, nylons, pants, peacock, pen, robe, scarf, shawl, shell, shirt, skirt, sled, socks, surfboard, sweater, swimsuit, tack, tie, trousers, umbrella, vest"
different_sizes,different sizes,19,"bag, bed, bolts, bow_(ribbon), bra, candle, coin, envelope, hose_(leggings), mirror, paintbrush, plate, pliers, pot, sailboat, screws, shoes, tank_(container), wrench"
eaten_as_meat,eaten as meat,6,"coconut, cow, lamb, moose, sheep, turkey"
eaten_by_baking,eaten by baking,6,"beans, biscuit, cake, pie, potato, walnut"
eaten_by_cooking,eaten by cooking,15,"asparagus, beans, broccoli, cabbage, carrot, cauliflower, eggplant, mushroom, peas, potato, rice, spinach, turnip, yam, zucchini"
eaten_in_pies,eaten in pies,5,"apple, blueberry, cherry, lemon, pumpkin"
eaten_in_salads,eaten in salads,13,"beets, cabbage, carrot, cauliflower, celery, cucumber, lettuce, mushroom, olive, onions, radish, spinach, tomato"
eaten_in_soups,eaten in soups,5,"asparagus, cabbage, onions, peas, spinach"
eaten_in_summer,eaten in summer,5,"cantaloupe, cherry, honeydew, nectarine, peach"
found_in_bathrooms,found in bathrooms,10,"bathtub, comb, faucet, mat, mirror, razor, robe, sink, tap, toilet"
found_in_bedrooms,found in bedrooms,5,"bed, bureau, closet, dresser, mirror"
found_in_houses,found in houses,11,"ashtray, bedroom, bookcase, cabinet, carpet, cellar, cockroach, fan_(appliance), mirror, telephone, wall"
found_in_kitchens,found in kitchens,32,"blender, bowl, cabinet, colander, corkscrew, cup, cupboard, dish, dishwasher, drain, faucet, fridge, grater, kettle, knife, ladle, microwave, mixer, oven, pan, plate, pot, sink, skillet, spatula, spoon, stove, strainer, table, tap, toaster, tongs"
found_on_walls,found on walls,7,"bookcase, certificate, clock, hook, mirror, plug_(electric), shelves"
furniture,furniture,11,"bed, bookcase, bureau, cabinet, chair, couch, desk, dresser, lamp, sofa, table"
grows_in_forests,grows in forests,5,"birch, cedar, mushroom, oak, pine"
grows_in_gardens,grows in gardens,18,"asparagus, beans, beets, broccoli, cabbage, carrot, cauliflower, celery, cucumber, eggplant, lettuce, parsley, potato, radish, rhubarb, spinach, tomato, turnip"
grows_in_the_ground,grows in the ground,8,"beets, carrot, cauliflower, dandelion, eggplant, potato, turnip, yam"
grows_on_trees,grows on trees,19,"apple, banana, cantaloupe, cherry, coconut, grapefruit, lemon, lime, mandarin, nectarine, olive, orange, peach, pear, pineapple, plum, prune, tangerine, walnut"
has_2_wheels,has 2 wheels,5,"bike, cart, motorcycle, scooter, wheelbarrow"
has_4_legs,has 4 legs,49,"bear, bench, buffalo, calf, caribou, cat, chair, cheetah, couch, cougar, cow, coyote, crocodile, deer, desk, dog, donkey, elephant, elk, fawn, fox, giraffe, goat, gopher, hare, horse, hyena, iguana, lamb, leopard, mink, mole_(animal), moose, ox, panther, pig, pony, porcupine, rat, salamander, sheep, skunk, sofa, squirrel, stool_(furniture), table, tortoise, turtle, zebra"
has_4_wheels,has 4 wheels,11,"ambulance, buggy, car, cart, dunebuggy, jeep, limousine, skateboard, truck, van, wagon"
has_a_beak,has a beak,38,"blackbird, bluejay, budgie, buzzard, canary, chickadee, chicken, crow, dove, duck, eagle, emu, falcon, finch, flamingo, goose, hawk, nightingale, oriole, ostrich, owl, parakeet, partridge, peacock, pelican, penguin, pheasant, pigeon, platypus, raven, robin, rooster, seagull, sparrow, starling, stork, swan, vulture"
has_a_blade,has a blade,6,"axe, dagger, hoe, knife, sword, tomahawk"
has_a_door,has a door,5,"cage, dishwasher, oven, shack, tent"
has_a_handle,has a handle,42,"axe, basket, broom, brush, bucket, buggy, chisel, corkscrew, cup, dagger, door, fork, grater, hammer, hatchet, hoe, kettle, knife, machete, mug, paintbrush, pan, pot, racquet, rake, rattle, revolver, rifle, screwdriver, shovel, skillet, sledgehammer, spade, spatula, spear, spoon, sword, tomahawk, umbrella, wagon, whip, wrench"
has_a_head,has a head,7,"axe, hammer, pin, screwdriver, screws, spear, turtle"
has_a_lid,has a lid,6,"barrel, bottle, box, jar, pan, pot"
has_a_long_neck,has a long neck,5,"emu, flamingo, giraffe, ostrich, swan"
has_a_long_tail,has a long tail,6,"cougar, iguana, mouse, pony, rat, salamander"
has_a_neck,has a neck,5,"banjo, bottle, buzzard, emu, ostrich"
has_a_pit,has a pit,6,"cherry, nectarine, olive, peach, plum, prune"
has_a_pointed_end,has a pointed end,11,"bullet, carrot, dagger, harpoon, peg, pen, pin, screws, spear, sword, tack"
has_a_roof,has a roof,7,"building, bungalow, cottage, house, jeep, shack, shed"
has_a_seat,has a seat,7,"bike, chair, stool_(furniture), toilet, tractor, tricycle, unicycle"
has_a_shell,has a shell,10,"beetle, clam, cockroach, coconut, lobster, shrimp, snail, tortoise, turtle, walnut"
has_a_skin,has a skin,19,"apple, banana, cantaloupe, cranberry, cucumber, drum, garlic, grape, lemon, mandarin, nectarine, onions, peach, pear, pineapple, plum, potato, prune, tangerine"
has_a_tail,has a tail,39,"alligator, beaver, calf, cat, chipmunk, cougar, coyote, crocodile, deer, dog, donkey, elephant, fawn, fox, goat, hamster, hare, horse, iguana, lion, lobster, mink, mouse, otter, panther, peacock, perch, pig, pony, rabbit, raccoon, rat, rattlesnake, salmon, shrimp, skunk, squirrel, trout, zebra"
has_a_trigger,has a trigger,5,"gun, pistol, revolver, rifle, shotgun"
has_a_wooden_handle,has a wooden handle,7,"axe, hammer, hoe, shovel, sledgehammer, spear, tomahawk"
has_a_zipper,has a zipper,7,"coat, jacket, jeans, pants, tent, trousers, vest"
has_an_engine,has an engine,10,"bus, car, dunebuggy, jet, motorcycle, scooter, train, truck, van, yacht"
has_an_inside,has an inside,11,"coconut, cucumber, freezer, fridge, grapefruit, nectarine, pineapple, plum, potato, radish, zucchini"
has_blades,has blades,5,"blender, fan_(appliance), helicopter, mixer, scissors"
has_buttons,has buttons,13,"accordion, blouse, coat, dishwasher, elevator, jacket, jeans, mouse_(computer), pants, shirt, telephone, trousers, vest"
has_claws,has claws,10,"bear, cat, cougar, crab, eagle, hawk, lobster, mole_(animal), tiger, vulture"
has_doors,has doors,15,"barn, building, bus, cabinet, car, closet, cupboard, elevator, freezer, fridge, garage, house, microwave, shed, van"
has_drawers,has drawers,5,"bureau, cabinet, desk, dresser, fridge"
has_ears,has ears,5,"corn, donkey, elephant, hare, rabbit"
has_eyes,has eyes,16,"beetle, cat, cow, deer, falcon, fawn, frog, hawk, housefly, iguana, lobster, mink, owl, raccoon, rat, spider"
has_feathers,has feathers,38,"blackbird, bluejay, budgie, buzzard, canary, chickadee, chicken, crow, dove, duck, eagle, emu, falcon, finch, flamingo, goose, hawk, nightingale, oriole, ostrich, owl, parakeet, partridge, peacock, pelican, pheasant, pigeon, raven, robin, rooster, seagull, sparrow, starling, stork, swan, turkey, vulture, woodpecker"
has_feet,has feet,10,"bear, chickadee, duck, goose, mole_(animal), penguin, pigeon, rabbit, raven, rooster"
has_fins,has fins,11,"catfish, cod, dolphin, goldfish, mackerel, minnow, perch, salmon, surfboard, trout, tuna"
has_fur,has fur,22,"bat_(animal), bear, caribou, cat, chimp, cougar, deer, dog, fox, goat, gopher, hamster, hare, lamb, lion, moose, mouse, otter, rat, skunk, squirrel, tiger"
has_gills,has gills,9,"catfish, cod, goldfish, mackerel, minnow, perch, salmon, trout, tuna"
has_hair,has hair,9,"buffalo, chimp, coconut, dog, doll, gorilla, mole_(animal), moose, pony"
has_handles,has handles,7,"bag, cabinet, cupboard, dresser, pliers, scissors, wheelbarrow"
has_holes,has holes,6,"belt, colander, flute, grater, socks, strainer"
has_hooves,has hooves,9,"calf, deer, donkey, elk, goat, horse, moose, pony, zebra"
has_horns,has horns,6,"buffalo, bull, caribou, elk, goat, ox"
has_keys,has keys,7,"accordion, clarinet, flute, keyboard_(musical), piano, saxophone, typewriter"
has_leaves,has leaves,15,"beets, birch, broccoli, cabbage, cauliflower, cedar, celery, lettuce, oak, pineapple, radish, rhubarb, spinach, vine, willow"
has_legs,has legs,44,"beetle, camel, canary, caribou, cat, chair, chicken, couch, cow, crab, deer, desk, dog, donkey, elephant, emu, fawn, fox, frog, goat, gopher, grasshopper, hare, horse, housefly, iguana, moose, ostrich, pants, pig, pony, rat, salamander, sheep, skunk, sofa, spider, squirrel, stool_(furniture), stork, table, toad, trousers, turtle"
has_long_legs,has long legs,6,"emu, flamingo, giraffe, grasshopper, ostrich, stork"
has_numbers,has numbers,5,"clock, ruler, telephone, thermometer, typewriter"
has_patterns,has patterns,5,"cup, mug, plate, saucer, tie"
has_peel,has peel,6,"banana, grapefruit, lemon, mandarin, orange, tangerine"
has_pockets,has pockets,6,"coat, jacket, jeans, pants, shirt, trousers"
has_scales,has scales,10,"alligator, catfish, cod, crocodile, goldfish, mackerel, perch, python, rattlesnake, trout"
has_seeds,has seeds,21,"apple, avocado, cantaloupe, cucumber, dandelion, eggplant, grape, grapefruit, honeydew, lemon, lime, mandarin, orange, pickle, prune, pumpkin, raspberry, strawberry, tangerine, tomato, zucchini"
has_shelves,has shelves,6,"bookcase, cabinet, cellar, closet, cupboard, fridge"
has_sleeves,has sleeves,6,"blouse, coat, dress, jacket, shirt, sweater"
has_strings,has strings,9,"apron, banjo, cello, guitar, harp, harpsichord, piano, racquet, violin"
has_teeth,has teeth,14,"alligator, bear, comb, cougar, coyote, crocodile, fox, lion, mink, rabbit, rake, rat, tiger, walrus"
has_webbed_feet,has webbed feet,6,"duck, goose, pelican, penguin, platypus, swan"
has_wheels,has wheels,23,"bike, buggy, bus, cannon, car, cart, catapult, dunebuggy, jeep, jet, motorcycle, scooter, skateboard, tank_(army), tractor, trailer, train, tricycle, trolley, truck, van, wagon, wheelbarrow"
has_whiskers,has whiskers,8,"cat, catfish, mouse, rabbit, rat, seal, tiger, walrus"
has_windows,has windows,9,"apartment, basement, building, bus, car, cathedral, cottage, house, skyscraper"
has_wings,has wings,44,"airplane, bat_(animal), beetle, blackbird, bluejay, butterfly, buzzard, canary, chickadee, chicken, crow, dove, duck, eagle, falcon, finch, goose, grasshopper, hawk, hornet, housefly, jet, moth, nightingale, oriole, ostrich, owl, parakeet, partridge, pelican, penguin, pheasant, pigeon, raven, rooster, seagull, sparrow, starling, stork, swan, turkey, vulture, wasp, woodpecker"
hunted_by_people,hunted by people,27,"bear, beaver, bison, buffalo, caribou, cheetah, coyote, deer, duck, elephant, elk, fawn, fox, hare, lobster, mackerel, mink, moose, partridge, perch, pheasant, rabbit, seal, tuna, walrus, whale, zebra"
inbeh_-_fires,inanimate object that fires,5,"bazooka, cannon, gun, pistol, rifle"
inbeh_-_floats,inanimate object that floats,7,"balloon, boat, canoe, raft, sailboat, ship, surfboard"
inbeh_-_produces_music,inanimate object that produces music,13,"accordion, banjo, clarinet, drum, flute, guitar, harp, harpsichord, keyboard_(musical), piano, saxophone, trombone, violin"
inbeh_-_produces_noise,inanimate object that produces noise,7,"cello, drum, rattle, tuba, typewriter, whip, whistle"
is_beautiful,is beautiful,6,"butterfly, emerald, fawn, horse, peacock, swan"
is_black,is black,50,"ant, bat_(animal), bear, beetle, blackbird, board_(black), boots, bra, buzzard, cannon, cape, chickadee, clarinet, cloak, cockroach, cow, crow, crowbar, escalator, flea, gorilla, gun, hornet, housefly, keyboard_(musical), lamb, limousine, mink_(coat), olive, oriole, panther, pearl, penguin, pepper, piano, raccoon, raisin, raven, revolver, sheep, skunk, spade, spider, starling, tiger, veil, wand, wasp, whip, zebra"
is_blue,is blue,6,"blueberry, bluejay, budgie, jeans, peacock, pen"
is_breakable,is breakable,10,"bag, bottle, crayon, cup, dish, jar, mirror, plate, saucer, shell"
is_brown,is brown,54,"barrel, beans, bear, beaver, bison, board_(wood), boots, box, bread, buffalo, camel, caribou, chickadee, chimp, chipmunk, cigar, cockroach, coconut, cork, cougar, cow, deer, donkey, elk, fawn, football, giraffe, gopher, groundhog, hamster, hare, mink, mink_(coat), mole_(animal), moose, moth, mushroom, oak, otter, owl, ox, porcupine, potato, raisin, rice, saddle, sandals, sandpaper, squirrel, toad, violin, walnut, willow, worm"
is_citrus,is citrus,5,"grapefruit, lemon, lime, orange, tangerine"
is_cold,is cold,6,"basement, cellar, doorknob, freezer, fridge, stone"
is_colourful,is colourful,19,"balloon, banner, bouquet, budgie, butterfly, card_(greeting), carpet, caterpillar, crayon, kite, leotards, magazine, marble, mittens, parakeet, peacock, rattle, scarf, skirt"
is_comfortable,is comfortable,15,"bed, camisole, chair, couch, cushion, jeans, nightgown, pajamas, pillow, robe, rocker, sandals, slippers, sofa, trousers"
is_crunchy,is crunchy,11,"apple, biscuit, carrot, celery, cucumber, lettuce, pickle, radish, rhubarb, turnip, walnut"
is_cute,is cute,9,"chimp, chipmunk, dolphin, fawn, mouse, otter, seal, sheep, squirrel"
is_dangerous,is dangerous,37,"alligator, axe, bayonet, bazooka, bear, beehive, bomb, bow_(weapon), bull, cougar, crocodile, crossbow, dagger, eel, gorilla, grenade, gun, knife, lion, machete, missile, motorcycle, oven, pistol, plug_(electric), porcupine, python, rattlesnake, revolver, rifle, scissors, shotgun, slingshot, spear, sword, tiger, wasp"
is_decorative,is decorative,8,"belt, candle, carpet, curtains, drapes, pillow, ring_(jewelry), urn"
is_dirty,is dirty,10,"ashtray, barn, carpet, cockroach, housefly, pig, rat, shack, socks, subway"
is_domestic,is domestic,5,"cat, chicken, cow, dog, turkey"
is_edible,is edible,78,"asparagus, avocado, banana, beans, beets, biscuit, blueberry, bread, broccoli, buffalo, cabbage, cake, calf, catfish, cauliflower, celery, cheese, chicken, clam, coconut, cod, corn, crab, cucumber, deer, duck, eel, eggplant, elk, fawn, garlic, goose, grape, grapefruit, grasshopper, lamb, lettuce, lobster, mackerel, minnow, mushroom, octopus, olive, parsley, partridge, peach, pear, peas, perch, pheasant, pickle, pie, pig, plum, potato, rabbit, raisin, raspberry, rhubarb, rice, rooster, salamander, salmon, sardine, seal, seaweed, shrimp, snail, spinach, squid, strawberry, tomato, trout, tuna, turkey, turnip, walnut, yam"
is_electrical,is electrical,22,"blender, chandelier, clock, dishwasher, drill, eel, elevator, escalator, fan_(appliance), freezer, fridge, kettle, keyboard_(musical), lamp, microwave, mixer, radio, razor, stereo, stove, subway, toaster"
is_endangered,is endangered,5,"bison, buffalo, eagle, seal, whale"
is_expensive,is expensive,22,"bracelet, car, chandelier, cigar, crown, dress, emerald, honeydew, house, limousine, lobster, microscope, mink, mink_(coat), missile, necklace, pearl, ring_(jewelry), rocket, stereo, taxi, yacht"
is_fast,is fast,33,"airplane, ambulance, bike, bullet, car, caribou, cheetah, chipmunk, cougar, deer, dunebuggy, elk, fawn, fox, hare, horse, housefly, hyena, jet, leopard, microwave, mink, missile, motorcycle, panther, rocket, scooter, skateboard, sled, squirrel, subway, taxi, train"
is_flat,is flat,10,"board_(wood), plate, ruler, saucer, shelves, spatula, surfboard, table, tray, wall"
is_fun,is fun,7,"ball, dunebuggy, motorcycle, sled, sleigh, toy, tricycle"
is_furry,is furry,20,"beaver, bison, buffalo, caterpillar, cheetah, chipmunk, coyote, donkey, earmuffs, elk, gorilla, groundhog, hyena, leopard, mink, mole_(animal), ox, platypus, rabbit, raccoon"
is_gold,is gold,7,"chain, goldfish, key, saxophone, trombone, trumpet, tuba"
is_green,is green,47,"alligator, apple, asparagus, avocado, banana, beans, board_(black), bottle, broccoli, budgie, cabbage, caterpillar, cedar, celery, crocodile, cucumber, emerald, frog, grape, grasshopper, grenade, honeydew, hose, iguana, jeep, lettuce, lime, olive, onions, parsley, pear, peas, pickle, pine, rattlesnake, rhubarb, salamander, seaweed, spinach, tank_(army), toad, tomato, tortoise, turtle, vine, willow, zucchini"
is_grey,is grey,13,"dolphin, donkey, eel, elephant, moth, mouse, pigeon, rat, rock, seagull, squirrel, stone, walrus"
is_hand_held,is hand held,7,"brush, lantern, mouse_(computer), pistol, pliers, screwdriver, tongs"
is_hard,is hard,22,"ball, bathtub, beetle, bench, board_(wood), brick, cheese, clam, cockroach, coconut, crowbar, helmet, marble, oak, pearl, pipe_(plumbing), rock, shell, stick, stone, turtle, walnut"
is_heavy,is heavy,27,"anchor, armour, axe, bat_(baseball), brick, bureau, cannon, chandelier, couch, crane_(machine), crowbar, crown, drapes, dresser, fridge, hammer, pistol, rifle, rock, saddle, sledgehammer, stone, tank_(army), truck, tuba, typewriter, wrench"
is_juicy,is juicy,21,"apple, beets, blueberry, cantaloupe, grape, grapefruit, honeydew, lemon, lime, mandarin, nectarine, orange, peach, pear, pickle, pineapple, plum, prune, strawberry, tangerine, tomato"
is_knitted,is knitted,5,"gloves, mittens, scarf, shawl, sweater"
is_large,is large,106,"airplane, ambulance, anchor, balloon, banner, barn, barrel, bathtub, bazooka, bear, beetle, bin_(waste), bison, board_(black), bookcase, box, bridge, buffalo, building, bull, bureau, bus, buzzard, camel, cannon, caribou, cart, catapult, cathedral, cello, church, cigar, cockroach, couch, cougar, cow, crane_(machine), crocodile, crow, dresser, eagle, elephant, elk, emu, falcon, freezer, fridge, garage, goose, gorilla, grapefruit, harp, harpsichord, hawk, hornet, horse, house, jet, leopard, limousine, lion, moose, mug, oak, octopus, ostrich, ox, parka, peacock, pelican, piano, pier, pumpkin, pyramid, python, raven, rocket, sailboat, seal, shield, ship, shrimp, skyscraper, sledgehammer, spider, stork, submarine, tank_(army), tank_(container), tiger, tortoise, tractor, trailer, trolley, trombone, truck, tuba, tuna, turkey, umbrella, van, vulture, walrus, whale, willow, yacht"
is_long,is long,81,"alligator, apron, asparagus, banana, banner, bat_(baseball), baton, bayonet, belt, bench, board_(wood), boots, bow_(ribbon), bow_(weapon), bridge, broom, canoe, cape, carrot, caterpillar, celery, chain, cigar, clarinet, cloak, coat, crocodile, crowbar, cucumber, curtains, drapes, dress, eel, flute, gorilla, gown, harpoon, hoe, hose, limousine, machete, missile, necklace, nightgown, paintbrush, pants, pen, pencil, pipe_(plumbing), python, rake, rattlesnake, rhubarb, rifle, robe, rocket, rope, ruler, scarf, screwdriver, seaweed, skateboard, skirt, skis, sledgehammer, spatula, spear, stick, surfboard, sword, tape_(scotch), thermometer, tie, tongs, trombone, vine, wand, whip, willow, worm, zucchini"
is_loud,is loud,34,"accordion, ambulance, bagpipe, bazooka, blender, bomb, budgie, bus, cannon, chicken, crow, dishwasher, drill, drum, dunebuggy, gun, hammer, helicopter, jet, mixer, motorcycle, parakeet, pistol, rifle, shotgun, stereo, subway, tractor, train, trombone, trumpet, tuba, whistle, woodpecker"
is_nutritious,is nutritious,15,"apple, beans, bread, broccoli, cabbage, carrot, cauliflower, celery, grapefruit, honeydew, lettuce, peas, potato, spinach, zucchini"
is_orange,is orange,15,"ambulance, cantaloupe, carrot, cheese, giraffe, goldfish, mandarin, nectarine, orange, oriole, peach, pumpkin, tangerine, tiger, yam"
is_pink,is pink,5,"flamingo, grapefruit, pig, salmon, shrimp"
is_pretty,is pretty,7,"blouse, bluejay, bouquet, butterfly, doll, ring_(jewelry), swan"
is_purple,is purple,5,"beets, eggplant, grape, plum, prune"
is_rectangular,is rectangular,10,"banner, box, brick, certificate, door, dresser, freezer, fridge, ruler, tray"
is_red,is red,26,"ambulance, ant, apple, barn, beets, bow_(ribbon), brick, cherry, crab, cranberry, fox, grape, lobster, olive, pen, plum, radish, raspberry, rhubarb, rooster, shrimp, strawberry, tomato, tractor, tricycle, wagon"
